ID da Ordem,Etapa,Modificado por,SLA,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min),Data do Evento,Código do Status
1601230,Contratos Encerrados,gabriels.santos@nava.com.br,-,08/08/2025 16:07,-,-,-,-,-,-,-,2025-08-08 16:07:00,
1674094,Aguardando Verificação/Aprovação (NAVA),-,-,25/04/2025 09:25,25/04/2025 09:26,-,0.0 dias,-,-,-,-,2025-04-25 09:25:00,
1674094,Enviado para o RM (Integração),integracao-projetoisp,-,25/04/2025 09:26,25/04/2025 09:26,-,0.0 dias,-,-,-,-,2025-04-25 09:26:00,
1674094,Contrato Ativo,integracao-projetoisp,-,25/04/2025 09:26,25/04/2025 13:09,-,0.15 dias,-,-,-,-,2025-04-25 09:26:00,
1674094,Aguardando Verificação/Aprovação (NAVA),integracao-projetoisp,-,25/04/2025 13:09,25/04/2025 13:13,-,0.0 dias,-,-,-,-,2025-04-25 13:09:00,
1674094,Enviado para o RM (Integração),integracao-projetoisp,-,25/04/2025 13:13,25/04/2025 13:14,-,0.0 dias,-,-,-,-,2025-04-25 13:13:00,
1674094,Contrato Ativo,integracao-projetoisp,-,25/04/2025 13:14,25/04/2025 13:14,-,0.0 dias,-,-,-,-,2025-04-25 13:14:00,
1674094,Erro de Importação,integracao-projetoisp,-,25/04/2025 13:14,25/04/2025 13:16,-,0.0 dias,-,-,-,-,2025-04-25 13:14:00,
1674094,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,25/04/2025 13:16,25/04/2025 13:17,-,0.0 dias,-,-,-,-,2025-04-25 13:16:00,
1674094,Contrato Ativo,carlos@zapform.com.br,-,25/04/2025 13:17,-,-,-,-,-,-,-,2025-04-25 13:17:00,
1673109,Aguardando Verificação/Aprovação (NAVA),-,-,24/04/2025 15:12,24/04/2025 15:12,-,0.0 dias,-,-,-,-,2025-04-24 15:12:00,
1673109,Enviado para o RM (Integração),integracao-projetoisp,-,24/04/2025 15:12,24/04/2025 15:14,-,0.0 dias,-,-,-,-,2025-04-24 15:12:00,
1673109,Contrato Ativo,integracao-projetoisp,-,24/04/2025 15:14,-,-,-,-,-,-,-,2025-04-24 15:14:00,
1581074,Aguardando Verificação/Aprovação (NAVA),-,-,24/03/2025 16:07,24/03/2025 16:11,-,0.0 dias,-,-,-,-,2025-03-24 16:07:00,
1581074,Cancelado,carlos@zapform.com.br,-,24/03/2025 16:11,-,-,-,-,-,-,-,2025-03-24 16:11:00,
1679397,Aguardando Verificação/Aprovação (NAVA),-,-,28/04/2025 09:44,28/04/2025 09:46,-,0.0 dias,-,-,-,-,2025-04-28 09:44:00,
1679397,Enviado para o RM (Integração),integracao-projetoisp,-,28/04/2025 09:46,28/04/2025 09:47,-,0.0 dias,-,-,-,-,2025-04-28 09:46:00,
1679397,Contrato Ativo,integracao-projetoisp,-,28/04/2025 09:47,-,-,-,-,-,-,-,2025-04-28 09:47:00,
1581110,Aguardando Verificação/Aprovação (NAVA),-,-,24/03/2025 16:20,24/03/2025 16:22,-,0.0 dias,-,-,-,-,2025-03-24 16:20:00,
1581110,Cancelado,carlos@zapform.com.br,-,24/03/2025 16:22,-,-,-,-,-,-,-,2025-03-24 16:22:00,
1581124,Aguardando Verificação/Aprovação (NAVA),-,-,24/03/2025 16:28,24/03/2025 18:01,-,0.06 dias,-,-,-,-,2025-03-24 16:28:00,
1581124,Enviado para o RM (Integração),carlos@zapform.com.br,-,24/03/2025 18:01,24/03/2025 18:03,-,0.0 dias,-,-,-,-,2025-03-24 18:01:00,
1581124,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,24/03/2025 18:03,24/03/2025 18:03,-,0.0 dias,-,-,-,-,2025-03-24 18:03:00,
1581124,Enviado para o RM (Integração),carlos@zapform.com.br,-,24/03/2025 18:03,24/03/2025 18:07,-,0.0 dias,-,-,-,-,2025-03-24 18:03:00,
1581124,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,24/03/2025 18:07,24/03/2025 18:07,-,0.0 dias,-,-,-,-,2025-03-24 18:07:00,
1581124,Enviado para o RM (Integração),carlos@zapform.com.br,-,24/03/2025 18:07,24/03/2025 18:08,-,0.0 dias,-,-,-,-,2025-03-24 18:07:00,
1581124,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,24/03/2025 18:08,24/03/2025 18:08,-,0.0 dias,-,-,-,-,2025-03-24 18:08:00,
1581124,Enviado para o RM (Integração),carlos@zapform.com.br,-,24/03/2025 18:08,24/03/2025 18:09,-,0.0 dias,-,-,-,-,2025-03-24 18:08:00,
1581124,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,24/03/2025 18:09,24/03/2025 18:10,-,0.0 dias,-,-,-,-,2025-03-24 18:09:00,
1581124,Enviado para o RM (Integração),carlos@zapform.com.br,-,24/03/2025 18:10,24/03/2025 18:11,-,0.0 dias,-,-,-,-,2025-03-24 18:10:00,
1581124,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,24/03/2025 18:11,24/03/2025 18:12,-,0.0 dias,-,-,-,-,2025-03-24 18:11:00,
1581124,Enviado para o RM (Integração),carlos@zapform.com.br,-,24/03/2025 18:12,24/03/2025 18:12,-,0.0 dias,-,-,-,-,2025-03-24 18:12:00,
1581124,Contrato Ativo,carlos@zapform.com.br,-,24/03/2025 18:12,31/03/2025 17:48,-,6.98 dias,-,-,-,-,2025-03-24 18:12:00,
1581124,Cancelado,carlos@zapform.com.br,-,31/03/2025 17:48,-,-,-,-,-,-,-,2025-03-31 17:48:00,
1720419,Aguardando Verificação/Aprovação (NAVA),-,-,16/05/2025 15:08,16/05/2025 15:10,-,0.0 dias,-,-,-,-,2025-05-16 15:08:00,
1720419,Enviado para o RM (Integração),integracao-projetoisp,-,16/05/2025 15:10,16/05/2025 15:10,-,0.0 dias,-,-,-,-,2025-05-16 15:10:00,
1720419,Contrato Ativo,integracao-projetoisp,-,16/05/2025 15:10,16/05/2025 15:19,-,0.01 dias,-,-,-,-,2025-05-16 15:10:00,
1720419,Aguardando Verificação/Aprovação (NAVA),integracao-projetoisp,-,16/05/2025 15:19,09/06/2025 12:03,-,23.86 dias,-,-,-,-,2025-05-16 15:19:00,
1720419,Cancelado,admin-ale,-,09/06/2025 12:03,-,-,-,-,-,-,-,2025-06-09 12:03:00,
1851496,Aguardando Verificação/Aprovação (NAVA),-,-,23/07/2025 11:11,23/07/2025 11:11,-,0.0 dias,-,-,-,-,2025-07-23 11:11:00,
1851496,Enviado para o RM (Integração),integracao-projetoisp,-,23/07/2025 11:11,23/07/2025 11:12,-,0.0 dias,-,-,-,-,2025-07-23 11:11:00,
1851496,Contrato Ativo,integracao-projetoisp,-,23/07/2025 11:12,-,-,-,-,-,-,-,2025-07-23 11:12:00,
1851513,Aguardando Verificação/Aprovação (NAVA),-,-,23/07/2025 11:17,23/07/2025 11:17,-,0.0 dias,-,-,-,-,2025-07-23 11:17:00,
1851513,Enviado para o RM (Integração),integracao-projetoisp,-,23/07/2025 11:17,23/07/2025 11:17,-,0.0 dias,-,-,-,-,2025-07-23 11:17:00,
1851513,Contrato Ativo,integracao-projetoisp,-,23/07/2025 11:17,-,-,-,-,-,-,-,2025-07-23 11:17:00,
1851514,Aguardando Verificação/Aprovação (NAVA),-,-,23/07/2025 11:17,23/07/2025 11:18,-,0.0 dias,-,-,-,-,2025-07-23 11:17:00,
1851514,Enviado para o RM (Integração),integracao-projetoisp,-,23/07/2025 11:18,23/07/2025 11:19,-,0.0 dias,-,-,-,-,2025-07-23 11:18:00,
1851514,Contrato Ativo,integracao-projetoisp,-,23/07/2025 11:19,-,-,-,-,-,-,-,2025-07-23 11:19:00,
1523860,Aguardando Verificação/Aprovação (NAVA),-,-,24/02/2025 17:52,25/02/2025 14:29,-,0.86 dias,-,-,-,-,2025-02-24 17:52:00,
1523860,Cancelado,carlos@zapform.com.br,-,25/02/2025 14:29,-,-,-,-,-,-,-,2025-02-25 14:29:00,
1523865,Aguardando Verificação/Aprovação (NAVA),-,-,24/02/2025 17:56,25/02/2025 14:29,-,0.86 dias,-,-,-,-,2025-02-24 17:56:00,
1523865,Cancelado,carlos@zapform.com.br,-,25/02/2025 14:29,-,-,-,-,-,-,-,2025-02-25 14:29:00,
1523872,Aguardando Verificação/Aprovação (NAVA),-,-,24/02/2025 18:00,25/02/2025 14:29,-,0.85 dias,-,-,-,-,2025-02-24 18:00:00,
1523872,Cancelado,carlos@zapform.com.br,-,25/02/2025 14:29,-,-,-,-,-,-,-,2025-02-25 14:29:00,
1794209,Aguardando Verificação/Aprovação (NAVA),-,-,26/06/2025 11:33,26/06/2025 11:33,-,0.0 dias,-,-,-,-,2025-06-26 11:33:00,
1794209,Enviado para o RM (Integração),integracao-projetoisp,-,26/06/2025 11:33,26/06/2025 11:34,-,0.0 dias,-,-,-,-,2025-06-26 11:33:00,
1794209,Contrato Ativo,integracao-projetoisp,-,26/06/2025 11:34,-,-,-,-,-,-,-,2025-06-26 11:34:00,
1851564,Aguardando Verificação/Aprovação (NAVA),-,-,23/07/2025 11:25,23/07/2025 11:26,-,0.0 dias,-,-,-,-,2025-07-23 11:25:00,
1851564,Enviado para o RM (Integração),integracao-projetoisp,-,23/07/2025 11:26,23/07/2025 11:27,-,0.0 dias,-,-,-,-,2025-07-23 11:26:00,
1851564,Contrato Ativo,integracao-projetoisp,-,23/07/2025 11:27,-,-,-,-,-,-,-,2025-07-23 11:27:00,
1523917,Aguardando Verificação/Aprovação (NAVA),-,-,24/02/2025 18:37,25/02/2025 14:28,-,0.83 dias,-,-,-,-,2025-02-24 18:37:00,
1523917,Enviado para o RM (Integração),carlos@zapform.com.br,-,25/02/2025 14:28,25/02/2025 15:43,-,0.05 dias,-,-,-,-,2025-02-25 14:28:00,
1523917,Contrato Ativo,carlos@zapform.com.br,-,25/02/2025 15:43,25/02/2025 16:03,-,0.01 dias,-,-,-,-,2025-02-25 15:43:00,
1523917,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,25/02/2025 16:03,25/02/2025 16:18,-,0.01 dias,-,-,-,-,2025-02-25 16:03:00,
1523917,Enviado para o RM (Integração),carlos@zapform.com.br,-,25/02/2025 16:18,25/02/2025 16:18,-,0.0 dias,-,-,-,-,2025-02-25 16:18:00,
1523917,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,25/02/2025 16:18,25/02/2025 16:23,-,0.0 dias,-,-,-,-,2025-02-25 16:18:00,
1523917,Enviado para o RM (Integração),carlos@zapform.com.br,-,25/02/2025 16:23,25/02/2025 16:27,-,0.0 dias,-,-,-,-,2025-02-25 16:23:00,
1523917,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,25/02/2025 16:27,27/02/2025 14:00,-,1.9 dias,-,-,-,-,2025-02-25 16:27:00,
1523917,Cancelado,carlos@zapform.com.br,-,27/02/2025 14:00,-,-,-,-,-,-,-,2025-02-27 14:00:00,
1351905,Aguardando Verificação/Aprovação (NAVA),-,-,04/12/2024 13:05,25/02/2025 16:03,-,83.12 dias,-,-,-,-,2024-12-04 13:05:00,
1351905,Cancelado,carlos@zapform.com.br,-,25/02/2025 16:03,-,-,-,-,-,-,-,2025-02-25 16:03:00,
1351907,Aguardando Verificação/Aprovação (NAVA),-,-,04/12/2024 13:07,25/02/2025 16:02,-,83.12 dias,-,-,-,-,2024-12-04 13:07:00,
1351907,Cancelado,carlos@zapform.com.br,-,25/02/2025 16:02,-,-,-,-,-,-,-,2025-02-25 16:02:00,
1351912,Aguardando Verificação/Aprovação (NAVA),-,-,04/12/2024 13:11,25/02/2025 16:02,-,83.12 dias,-,-,-,-,2024-12-04 13:11:00,
1351912,Cancelado,carlos@zapform.com.br,-,25/02/2025 16:02,-,-,-,-,-,-,-,2025-02-25 16:02:00,
1351917,Aguardando Verificação/Aprovação (NAVA),-,-,04/12/2024 13:13,25/02/2025 16:03,-,83.12 dias,-,-,-,-,2024-12-04 13:13:00,
1351917,Cancelado,carlos@zapform.com.br,-,25/02/2025 16:03,-,-,-,-,-,-,-,2025-02-25 16:03:00,
1351919,Aguardando Verificação/Aprovação (NAVA),-,-,04/12/2024 13:15,25/02/2025 16:02,-,83.12 dias,-,-,-,-,2024-12-04 13:15:00,
1351919,Cancelado,carlos@zapform.com.br,-,25/02/2025 16:02,-,-,-,-,-,-,-,2025-02-25 16:02:00,
1687797,Aguardando Verificação/Aprovação (NAVA),-,-,30/04/2025 10:36,30/04/2025 10:37,-,0.0 dias,-,-,-,-,2025-04-30 10:36:00,
1687797,Enviado para o RM (Integração),integracao-projetoisp,-,30/04/2025 10:37,30/04/2025 10:37,-,0.0 dias,-,-,-,-,2025-04-30 10:37:00,
1687797,Contrato Ativo,integracao-projetoisp,-,30/04/2025 10:37,-,-,-,-,-,-,-,2025-04-30 10:37:00,
1351925,Aguardando Verificação/Aprovação (NAVA),-,-,04/12/2024 13:20,25/02/2025 16:02,-,83.11 dias,-,-,-,-,2024-12-04 13:20:00,
1351925,Cancelado,carlos@zapform.com.br,-,25/02/2025 16:02,-,-,-,-,-,-,-,2025-02-25 16:02:00,
1351932,Aguardando Verificação/Aprovação (NAVA),-,-,04/12/2024 13:21,25/02/2025 16:02,-,83.11 dias,-,-,-,-,2024-12-04 13:21:00,
1351932,Cancelado,carlos@zapform.com.br,-,25/02/2025 16:02,-,-,-,-,-,-,-,2025-02-25 16:02:00,
1753361,Aguardando Verificação/Aprovação (NAVA),-,-,03/06/2025 11:03,03/06/2025 11:04,-,0.0 dias,-,-,-,-,2025-06-03 11:03:00,
1753361,Enviado para o RM (Integração),integracao-projetoisp,-,03/06/2025 11:04,03/06/2025 11:04,-,0.0 dias,-,-,-,-,2025-06-03 11:04:00,
1753361,Contrato Ativo,integracao-projetoisp,-,03/06/2025 11:04,-,-,-,-,-,-,-,2025-06-03 11:04:00,
1704212,Aguardando Verificação/Aprovação (NAVA),-,-,07/05/2025 09:00,07/05/2025 09:01,-,0.0 dias,-,-,-,-,2025-05-07 09:00:00,
1704212,Enviado para o RM (Integração),integracao-projetoisp,-,07/05/2025 09:01,07/05/2025 09:01,-,0.0 dias,-,-,-,-,2025-05-07 09:01:00,
1704212,Contrato Ativo,integracao-projetoisp,-,07/05/2025 09:01,-,-,-,-,-,-,-,2025-05-07 09:01:00,
1851684,Aguardando Verificação/Aprovação (NAVA),-,-,23/07/2025 12:25,23/07/2025 12:26,-,0.0 dias,-,-,-,-,2025-07-23 12:25:00,
1851684,Enviado para o RM (Integração),integracao-projetoisp,-,23/07/2025 12:26,23/07/2025 12:26,-,0.0 dias,-,-,-,-,2025-07-23 12:26:00,
1851684,Contrato Ativo,integracao-projetoisp,-,23/07/2025 12:26,-,-,-,-,-,-,-,2025-07-23 12:26:00,
1696037,Aguardando Verificação/Aprovação (NAVA),-,-,02/05/2025 15:21,02/05/2025 15:22,-,0.0 dias,-,-,-,-,2025-05-02 15:21:00,
1696037,Enviado para o RM (Integração),integracao-projetoisp,-,02/05/2025 15:22,02/05/2025 15:23,-,0.0 dias,-,-,-,-,2025-05-02 15:22:00,
1696037,Contrato Ativo,integracao-projetoisp,-,02/05/2025 15:23,-,-,-,-,-,-,-,2025-05-02 15:23:00,
1720617,Aguardando Verificação/Aprovação (NAVA),-,-,16/05/2025 16:40,16/05/2025 16:40,-,0.0 dias,-,-,-,-,2025-05-16 16:40:00,
1720617,Enviado para o RM (Integração),integracao-projetoisp,-,16/05/2025 16:40,16/05/2025 16:40,-,0.0 dias,-,-,-,-,2025-05-16 16:40:00,
1720617,Erro de Importação,integracao-projetoisp,-,16/05/2025 16:40,-,-,-,-,-,-,-,2025-05-16 16:40:00,
1851714,Aguardando Verificação/Aprovação (NAVA),-,-,23/07/2025 12:41,23/07/2025 12:42,-,0.0 dias,-,-,-,-,2025-07-23 12:41:00,
1851714,Enviado para o RM (Integração),integracao-projetoisp,-,23/07/2025 12:42,23/07/2025 12:42,-,0.0 dias,-,-,-,-,2025-07-23 12:42:00,
1851714,Contrato Ativo,integracao-projetoisp,-,23/07/2025 12:42,-,-,-,-,-,-,-,2025-07-23 12:42:00,
1843534,Aguardando Verificação/Aprovação (NAVA),-,-,18/07/2025 15:47,18/07/2025 15:57,-,0.01 dias,-,-,-,-,2025-07-18 15:47:00,
1843534,Cancelado,vinicius.alexandre@nava.com.br,-,18/07/2025 15:57,18/07/2025 15:59,-,0.0 dias,-,-,-,-,2025-07-18 15:57:00,
1843534,Erro de Importação,vinicius.alexandre@nava.com.br,-,18/07/2025 15:59,18/07/2025 15:59,-,0.0 dias,-,-,-,-,2025-07-18 15:59:00,
1843534,Cancelado,vinicius.alexandre@nava.com.br,-,18/07/2025 15:59,-,-,-,-,-,-,-,2025-07-18 15:59:00,
1843535,Aguardando Verificação/Aprovação (NAVA),-,-,18/07/2025 15:47,18/07/2025 15:47,-,0.0 dias,-,-,-,-,2025-07-18 15:47:00,
1843535,Enviado para o RM (Integração),integracao-projetoisp,-,18/07/2025 15:47,18/07/2025 15:48,-,0.0 dias,-,-,-,-,2025-07-18 15:47:00,
1843535,Contrato Ativo,integracao-projetoisp,-,18/07/2025 15:48,-,-,-,-,-,-,-,2025-07-18 15:48:00,
1687958,Aguardando Verificação/Aprovação (NAVA),-,-,30/04/2025 11:17,30/04/2025 11:18,-,0.0 dias,-,-,-,-,2025-04-30 11:17:00,
1687958,Enviado para o RM (Integração),integracao-projetoisp,-,30/04/2025 11:18,30/04/2025 11:18,-,0.0 dias,-,-,-,-,2025-04-30 11:18:00,
1687958,Contrato Ativo,integracao-projetoisp,-,30/04/2025 11:18,-,-,-,-,-,-,-,2025-04-30 11:18:00,
1696153,Aguardando Verificação/Aprovação (NAVA),-,-,02/05/2025 16:25,02/05/2025 16:26,-,0.0 dias,-,-,-,-,2025-05-02 16:25:00,
1696153,Enviado para o RM (Integração),integracao-projetoisp,-,02/05/2025 16:26,02/05/2025 16:26,-,0.0 dias,-,-,-,-,2025-05-02 16:26:00,
1696153,Contrato Ativo,integracao-projetoisp,-,02/05/2025 16:26,-,-,-,-,-,-,-,2025-05-02 16:26:00,
1688002,Aguardando Verificação/Aprovação (NAVA),-,-,30/04/2025 11:31,30/04/2025 11:32,-,0.0 dias,-,-,-,-,2025-04-30 11:31:00,
1688002,Enviado para o RM (Integração),integracao-projetoisp,-,30/04/2025 11:32,30/04/2025 11:32,-,0.0 dias,-,-,-,-,2025-04-30 11:32:00,
1688002,Contrato Ativo,integracao-projetoisp,-,30/04/2025 11:32,-,-,-,-,-,-,-,2025-04-30 11:32:00,
1835462,Aguardando Verificação/Aprovação (NAVA),-,-,16/07/2025 15:25,16/07/2025 15:26,-,0.0 dias,-,-,-,-,2025-07-16 15:25:00,
1835462,Enviado para o RM (Integração),integracao-projetoisp,-,16/07/2025 15:26,16/07/2025 15:26,-,0.0 dias,-,-,-,-,2025-07-16 15:26:00,
1835462,Contrato Ativo,integracao-projetoisp,-,16/07/2025 15:26,-,-,-,-,-,-,-,2025-07-16 15:26:00,
1835508,Aguardando Verificação/Aprovação (NAVA),-,-,16/07/2025 15:40,16/07/2025 15:40,-,0.0 dias,-,-,-,-,2025-07-16 15:40:00,
1835508,Enviado para o RM (Integração),integracao-projetoisp,-,16/07/2025 15:40,16/07/2025 15:41,-,0.0 dias,-,-,-,-,2025-07-16 15:40:00,
1835508,Contrato Ativo,integracao-projetoisp,-,16/07/2025 15:41,-,-,-,-,-,-,-,2025-07-16 15:41:00,
1688089,Aguardando Verificação/Aprovação (NAVA),-,-,30/04/2025 11:56,30/04/2025 11:57,-,0.0 dias,-,-,-,-,2025-04-30 11:56:00,
1688089,Enviado para o RM (Integração),integracao-projetoisp,-,30/04/2025 11:57,30/04/2025 11:57,-,0.0 dias,-,-,-,-,2025-04-30 11:57:00,
1688089,Contrato Ativo,integracao-projetoisp,-,30/04/2025 11:57,-,-,-,-,-,-,-,2025-04-30 11:57:00,
1688142,Aguardando Verificação/Aprovação (NAVA),-,-,30/04/2025 12:13,30/04/2025 12:13,-,0.0 dias,-,-,-,-,2025-04-30 12:13:00,
1688142,Enviado para o RM (Integração),integracao-projetoisp,-,30/04/2025 12:13,30/04/2025 12:14,-,0.0 dias,-,-,-,-,2025-04-30 12:13:00,
1688142,Contrato Ativo,integracao-projetoisp,-,30/04/2025 12:14,-,-,-,-,-,-,-,2025-04-30 12:14:00,
1352278,Aguardando Verificação/Aprovação (NAVA),-,-,04/12/2024 15:31,04/12/2024 15:36,-,0.0 dias,-,-,-,-,2024-12-04 15:31:00,
1352278,Enviado para o RM (Integração),carlos@zapform.com.br,-,04/12/2024 15:36,04/12/2024 15:40,-,0.0 dias,-,-,-,-,2024-12-04 15:36:00,
1352278,Contrato Ativo,carlos@zapform.com.br,-,04/12/2024 15:40,11/12/2024 11:41,-,6.83 dias,-,-,-,-,2024-12-04 15:40:00,
1352278,Aguardando Verificação/Aprovação (NAVA),carlos@zapform.com.br,-,11/12/2024 11:41,11/12/2024 11:42,-,0.0 dias,-,-,-,-,2024-12-11 11:41:00,
1352278,Enviado para o RM (Integração),carlos@zapform.com.br,-,11/12/2024 11:42,11/12/2024 11:53,-,0.01 dias,-,-,-,-,2024-12-11 11:42:00,
1352278,Contrato Ativo,carlos@zapform.com.br,-,11/12/2024 11:53,25/02/2025 14:29,-,76.11 dias,-,-,-,-,2024-12-11 11:53:00,
1352278,Cancelado,carlos@zapform.com.br,-,25/02/2025 14:29,-,-,-,-,-,-,-,2025-02-25 14:29:00,
1737359,Aguardando Verificação/Aprovação (NAVA),-,-,26/05/2025 10:41,26/05/2025 10:41,-,0.0 dias,-,-,-,-,2025-05-26 10:41:00,
1737359,Enviado para o RM (Integração),integracao-projetoisp,-,26/05/2025 10:41,26/05/2025 10:42,-,0.0 dias,-,-,-,-,2025-05-26 10:41:00,
1737359,Erro de Importação,integracao-projetoisp,-,26/05/2025 10:42,-,-,-,-,-,-,-,2025-05-26 10:42:00,
1688291,Aguardando Verificação/Aprovação (NAVA),-,-,30/04/2025 13:33,30/04/2025 13:34,-,0.0 dias,-,-,-,-,2025-04-30 13:33:00,
1688291,Enviado para o RM (Integração),integracao-projetoisp,-,30/04/2025 13:34,30/04/2025 13:34,-,0.0 dias,-,-,-,-,2025-04-30 13:34:00,
1688291,Contrato Ativo,integracao-projetoisp,-,30/04/2025 13:34,-,-,-,-,-,-,-,2025-04-30 13:34:00,
1737478,Aguardando Verificação/Aprovação (NAVA),-,-,26/05/2025 11:29,26/05/2025 11:29,-,0.0 dias,-,-,-,-,2025-05-26 11:29:00,
1737478,Enviado para o RM (Integração),integracao-projetoisp,-,26/05/2025 11:29,26/05/2025 11:29,-,0.0 dias,-,-,-,-,2025-05-26 11:29:00,
1737478,Contrato Ativo,integracao-projetoisp,-,26/05/2025 11:29,-,-,-,-,-,-,-,2025-05-26 11:29:00,
1344320,Aguardando Verificação/Aprovação (NAVA),-,-,28/11/2024 12:04,28/11/2024 12:12,-,0.01 dias,-,-,-,-,2024-11-28 12:04:00,
1344320,Cancelado,carlos@zapform.com.br,-,28/11/2024 12:12,-,-,-,-,-,-,-,2024-11-28 12:12:00,
1344340,Aguardando Verificação/Aprovação (NAVA),-,-,28/11/2024 12:12,28/11/2024 13:21,-,0.05 dias,-,-,-,-,2024-11-28 12:12:00,
1344340,Enviado para o RM (Integração),carlos@zapform.com.br,-,28/11/2024 13:21,29/11/2024 13:28,-,1.0 dias,-,-,-,-,2024-11-28 13:21:00,
1344340,Contrato Ativo,carlos@zapform.com.br,-,29/11/2024 13:28,29/11/2024 13:28,-,0.0 dias,-,-,-,-,2024-11-29 13:28:00,
1344340,Em Revisão (NAVA),carlos@zapform.com.br,-,29/11/2024 13:28,25/02/2025 14:29,-,88.04 dias,-,-,-,-,2024-11-29 13:28:00,
1344340,Cancelado,carlos@zapform.com.br,-,25/02/2025 14:29,-,-,-,-,-,-,-,2025-02-25 14:29:00,
1688418,Aguardando Verificação/Aprovação (NAVA),-,-,30/04/2025 14:30,30/04/2025 14:31,-,0.0 dias,-,-,-,-,2025-04-30 14:30:00,
