ID do Card,Responsável,Whatsapp Nome Fornecedor,Whatsapp Número Fornecedor,Status,Data de Criação,Última Alteração,Etiquetas,Prioridade,Nome Card,Período do contrato (Meses),Dias antes do vencimento para receber fatura,Valor,Dia de vencimento,Meio de pagamento,Designação,Data de início do contrato,Cobranças avulsas,Link da card na Viabilidade,Card ID na Viabilidade,Unnamed: 20,Unnamed: 21,Unnamed: 22,
1523872,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,24/02/2025,25/02/2025,-,Sem prioridade,-,12,3,130,5,PIX,-,-,"[{'01 - Dias antes do vencimento': 3, '02 - Valor': 80, '03 - Data de vencimento': '25/02/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX'}, {'01 - Dias antes do vencimento': 3, '02 - Valor': 90, '03 - Data de vencimento': '28/02/2025', '04 - Meio de pagamento': 'OptionList;2;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'teste'}]",https://app.zapform.com.br/c/726/workflow/1330675,1330675,-,,,
1794209,Jurídico,PHS SCM - SERVICOS DE COMUNICACAO MULTIMIDIA LTDA,554488030404,Contrato Ativo,26/06/2025,26/06/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - COCAMAR - IP DEDICADO /30 - TAPIRA,9,10,"127,50",10,Boleto Bancário,TPR5010005,11/04/2024,[],https://app.zapform.com.br/c/726/workflow/1274109,1274109,-,,,
1851564,Jurídico,BRASIL TECPAR TELECOM 3,3535133785980,Contrato Ativo,23/07/2025,23/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - AMERICANAS S.A - BANDA LARGA - L765 - BEST CENTER TAUBATÉ EXPRESS,12,10,"79,32",25,Boleto Bancário,TTE5010534,08/07/2024,[],https://app.zapform.com.br/c/726/workflow/1850532,1850532,-,,,
1523917,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,24/02/2025,27/02/2025,-,Sem prioridade,-,12,4,180,5,PIX,teste,-,"[{'01 - Dias antes do vencimento': 3, '02 - Valor': 50, '03 - Data de vencimento': '28/02/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX'}, {'01 - Dias antes do vencimento': 3, '02 - Valor': 23, '03 - Data de vencimento': '01/03/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX'}]",https://app.zapform.com.br/c/726/workflow/1330675,1330675,-,,,
1351905,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,04/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1351907,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,04/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1351912,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,04/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1351917,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,04/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1351919,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,04/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1687797,Jurídico,NEW CENTER LTDA,554499091600,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - BANDA LARGA IPV4 / IP DEDICADO IPV4 - LOJA 627 - JESUITAS - LINK BACKUP,11,10,"99,90",25,Boleto Bancário,JST5010005,08/11/2024,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 99.9, '03 - Data de vencimento': '25/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'JST5010005'}]",https://app.zapform.com.br/c/726/workflow/1601271,1601271,-,,,
1351925,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,04/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1351932,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,04/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1753361,Jurídico,WZNET,557798167472,Contrato Ativo,03/06/2025,03/06/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - Bahia Farm Show 2025 - - BANDA LARGA - Complexo Bahia Farm Show,1,10,"980,00",6,Boleto Bancário,MIOO5038798,03/06/2025,[],https://app.zapform.com.br/c/726/workflow/1643342,1643342,-,,,
1704212,Jurídico,"VARGAS, RIOS & CIA LTDA",555180163305,Contrato Ativo,07/05/2025,07/05/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 152 - PANTANO GRANDE - LINK BACKUP,10,10,"265,40",15,Boleto Bancário,PBG5010019,25/09/2023,[],https://app.zapform.com.br/c/726/workflow/1601253,1601253,-,,,
1851684,Jurídico,H+ INFORMATICA 2,558935781117,Contrato Ativo,23/07/2025,23/07/2025,-,Sem prioridade,PEDIDO DE UPGRADE - BRADESCO - PROJETO UPGRADE / VSAT - PAA MONTE ALEGRE DO PIAUI - MOU5010339,12,10,"119,90",25,Boleto Bancário,MOU5010339,26/07/2023,[],https://app.zapform.com.br/c/726/workflow/1632293,1632293,-,,,
1696037,Jurídico,ABCREDE TELECOM INFORMATICA LTDA,5518997081491,Contrato Ativo,02/05/2025,02/05/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 585 - PANORAMA - LINK BACKUP,11,10,"97,99",25,Boleto Bancário,PNR5010013,25/11/2022,[],https://app.zapform.com.br/c/726/workflow/1601046,1601046,-,,,
1720617,Jurídico,ON TELECOM LTDA,57619423000101,Erro de Importação,16/05/2025,16/05/2025,-,Sem prioridade,PEDIDO DE REMANEJAMENTO INTERNO - BRADESCO - BDN PAB B2W,10,10,560,20,Boleto Bancário,ULA501698,10/01/2024,[],https://app.zapform.com.br/c/726/workflow/1601287,1601287,-,,,
1851714,Jurídico,MAXIWEB INTERNET PROVIDER LTDA,551139645005,Contrato Ativo,23/07/2025,23/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - 220 AG. SDWAN - AG. JUNDIAÍ - JAI5010944,12,10,"200,00",15,Boleto Bancário,JAI5010944,23/09/2021,[],https://app.zapform.com.br/c/726/workflow/1632334,1632334,-,,,
1843534,Jurídico,NETRIBAS - TELECOMUNICACOES,556796845537,Cancelado,18/07/2025,18/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil S/A - IP DEDICADO - 9.5. Estação de Compressão de Ribas do Rio Pardo:,12,10,1500,25,Boleto Bancário,RRR5010045,17/07/2025,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 3000, '03 - Data de vencimento': '23/07/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'RRR5010045'}]",https://app.zapform.com.br/c/726/workflow/1485019,1485019,-,,,
1843535,Jurídico,NETRIBAS - TELECOMUNICACOES,556796845537,Contrato Ativo,18/07/2025,18/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - TBG - Transportadora Brasileira Gasoduto Bolívia-Brasil S/A - IP DEDICADO - 9.5. Estação de Compressão de Ribas do Rio Pardo:,12,10,1500,25,Boleto Bancário,RRR5010045,17/07/2025,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 3000, '03 - Data de vencimento': '23/07/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'RRR5010045'}]",https://app.zapform.com.br/c/726/workflow/1485019,1485019,-,,,
1687958,Jurídico,GEORGE ALEXANDRE DIAS DE SOUSA INFORMATICA EIRELI,558197568144,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - 220 AG. SDWAN - AG. PAUDALHO - PE,11,10,"200,00",25,Boleto Bancário,PLH5011738,28/10/2024,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 200, '03 - Data de vencimento': '25/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'PLH5011738'}]",https://app.zapform.com.br/c/726/workflow/1601127,1601127,-,,,
1696153,Jurídico,NDX TELECOMUNICACOES LTDA,5521967702101,Contrato Ativo,02/05/2025,02/05/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - AMERICANAS S.A - BANDA LARGA - L031 - NOVA IGUAÇU,10,5,"700,00",5,Boleto Bancário,NIU2374203,17/10/2024,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 700, '03 - Data de vencimento': '05/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'NIU2374203'}, {' Cobrança avulsa': 2, '01 - Dias antes do vencimento': 10, '02 - Valor': 700, '03 - Data de vencimento': '05/05/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'NIU2374203'}]",https://app.zapform.com.br/c/726/workflow/1274719,1274719,-,,,
1688002,Jurídico,KIX TELECOM LTDA,5521964216717,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - 220 AG. SDWAN - AG. RIO BONITO - RJ,11,10,"149,99",25,Boleto Bancário,RBT1941812,25/04/2023,[],https://app.zapform.com.br/c/726/workflow/1600949,1600949,-,,,
1835462,Jurídico,NETWORK PROVEDOR INTERNET LTDA,554834323118,Contrato Ativo,16/07/2025,16/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 599 - IÇARA - LINK TITULAR - YCA5010045,12,10,"179,90",15,Boleto Bancário,YCA5010045,17/10/2022,[],https://app.zapform.com.br/c/726/workflow/1632287,1632287,-,,,
1835508,Jurídico,SOLUÇÃO NETWORK LTDA,554439000000,Contrato Ativo,16/07/2025,16/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO QUERO - LOJA 510 - ALTO PARANA,8,10,"64,90",1,Boleto Bancário,APA5010011,13/06/2024,[],https://app.zapform.com.br/c/726/workflow/1835282,1835282,-,,,
1688089,Jurídico,OLIVEIRA & SEIXAS INFORMATICA LTDA,554232421119,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 569 - RESERVA - LINK TITULAR,11,10,"199,99",20,Boleto Bancário,RRV5010017,20/07/2022,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 199.99, '03 - Data de vencimento': '20/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'RRV5010017'}]",https://app.zapform.com.br/c/726/workflow/1601028,1601028,-,,,
1688142,Jurídico,ALEX FABIANO DA SILVA LTDA,559891430037,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - 220 AG. SDWAN - AG ROSARIO,11,10,"229,00",25,Boleto Bancário,RSI5014905,25/10/2022,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 229, '03 - Data de vencimento': '25/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'RSI5014905'}]",https://app.zapform.com.br/c/726/workflow/1600841,1600841,-,,,
1352278,Jurídico,ZAPFORM - DEV,5512997850097,Cancelado,04/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1737359,Jurídico,ON TELECOM LTDA,57619423000101,Erro de Importação,26/05/2025,26/05/2025,-,Sem prioridade,PEDIDO DE REMANEJAMENTO INTERNO - BRADESCO - BDN PAB B2W,10,10,560,20,Boleto Bancário,ULA5016984,15/05/2025,[],https://app.zapform.com.br/c/726/workflow/1601287,1601287,-,,,
1688291,Jurídico,ALEMNET TELECOM,557498143752,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO CONEXÃO NOVA - BRADESCO - PROJETO 368 - BRAD-5263 - OLINDINA - ONN5011170,11,10,"199,00",25,Boleto Bancário,ONN5011170,20/01/2022,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 199, '03 - Data de vencimento': '30/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'ONN5011170'}]",https://app.zapform.com.br/c/726/workflow/1632373,1632373,-,,,
1737478,Jurídico,CEDNET PROVEDOR DE INTERNET LTDA,40648160000166,Contrato Ativo,26/05/2025,26/05/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 652 - IPAUSSU/SP - LINK PRINCIPAL - IAC5010033,10,10,"24,80",25,Boleto Bancário,IAC5010033,31/07/2024,[],https://app.zapform.com.br/c/726/workflow/1737472,1737472,-,,,
1344320,Jurídico,ZAPFORM - DEV,5512997850097,Cancelado,28/11/2024,28/11/2024,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1344340,Jurídico,ZAPFORM - DEV,5512997850097,Cancelado,28/11/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1688418,Jurídico,7LINK PROVEDORES LTDA,5521980773344,Contratos Encerrados,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - AMERICANAS S.A - BANDA LARGA - L369 - SHC PATIO MIX,11,10,159.90,15,Boleto Bancário,IGI1995948,17/07/2024,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 159.9, '03 - Data de vencimento': '15/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'IGI1995948'}]",https://app.zapform.com.br/c/726/workflow/1601413,1601413,-,,,
1434511,Jurídico,Fabiano Uoya,5511980500231,Cancelado,16/01/2025,17/03/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1434553,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,16/01/2025,20/05/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1827851,Jurídico,7LINK PROVEDORES LTDA,5521980773344,Contrato Ativo,11/07/2025,11/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - AMERICANAS S.A - BANDA LARGA - L369 - SHC PATIO MIX,8,10,"159,90",15,Boleto Bancário,IGI1995948,17/07/2024,[],https://app.zapform.com.br/c/726/workflow/1601413,1601413,-,,,
1688628,Jurídico,S.D DE MEDEIROS & CIA LTDA,556282939381,Contratos Encerrados,30/04/2025,26/05/2025,-,Sem prioridade,PEDIDO CONEXÃO NOVA - ITAU UNIBANCO SA - AG 4407 SAO MIGUEL ARAGUAIA GO,11,10,"149,9",25,Boleto Bancário,SGG5010037,25/01/2023,"[{' Cobrança avulsa': 1, '01 - Dias antes do vencimento': 10, '02 - Valor': 149.9, '03 - Data de vencimento': '25/04/2025', '04 - Meio de pagamento': 'OptionList;1;Boleto Bancário;Cartão de Crédito;Transferência Bancária;PIX', '05 - Designação': 'SGG5010037'}]",https://app.zapform.com.br/c/726/workflow/1601008,1601008,-,,,
1549520,Jurídico,NETSET - producao,556799479675,Cancelado,10/03/2025,01/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - MIG COBRE LT1 - SETE QUEDAS - MS - POLICIA MILITAR DO ESTADO DE MS ,12,10,150,25,Boleto Bancário,STQ5010033,-,[],https://app.zapform.com.br/c/726/workflow/1272830,1272830,-,,,
1713395,Jurídico,TELECOM VELOSO,559281261200,Contrato Ativo,12/05/2025,12/05/2025,-,Sem prioridade,Data de ativação anterior a utilização do Trello - UAI5010028,10,10,"350,00",10,Boleto Bancário,UAI5010028,18/11/2020,[],https://app.zapform.com.br/c/726/workflow/1712560,1712560,-,,,
1688888,Jurídico,TERRARICANET,554499270113,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 563 - TERRA RICA,11,10,"114,90",15,Boleto Bancário,TRA5010009,05/05/2022,[],https://app.zapform.com.br/c/726/workflow/1601080,1601080,-,,,
1705397,Jurídico,RIONET FIBRA,558185461987,Contrato Ativo,07/05/2025,07/05/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - AMERICANAS S.A - IP DEDICADO - 5344 - PORTO DE GALINHAS EXPRESS,10,10,"604,20",20,Boleto Bancário,IPJ5013041,09/10/2024,[],https://app.zapform.com.br/c/726/workflow/1290428,1290428,-,,,
1344981,Jurídico,ZAPFORM - DEV,5512997850097,Cancelado,28/11/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1852898,Jurídico,VIAVETORIAL TELECOMUNICACOES LTDA,10864699000191,Aguardando Verificação/Aprovação (NAVA),24/07/2025,31/07/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - UNICRED - IP DEDICADO - ERECHIM - ERE5010110,8,10,"398,00",21,Boleto Bancário,ERE5010110,24/05/2024,[],https://app.zapform.com.br/c/726/workflow/1632716,1632716,-,,,
1754624,Jurídico,CST CERENTINI SOLUÇÕES EM TECNOLOGIA E TRANSMISSÃO DE DADOS LTDA,555199984101,Contrato Ativo,04/06/2025,04/06/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 618 - PARAÍSO DO SUL,9,10,"38,44",15,Boleto Bancário,PXS5010032,24/05/2023,[],https://app.zapform.com.br/c/726/workflow/1754615,1754615,-,,,
1689097,Jurídico,DIGITAL TERRA ROXA INTERNETEIRELI,554499497658,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 530 - TERRA ROXA,11,10,"108,00",25,Boleto Bancário,TRX5010016,25/05/2022,[],https://app.zapform.com.br/c/726/workflow/1601016,1601016,-,,,
1549868,Jurídico,NETSET - producao,556799479675,Cancelado,10/03/2025,01/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - MIG COBRE LT1 - SETE QUEDAS - MS - POLICIA MILITAR DO ESTADO DE MS - TESTE,12,10,150,25,Boleto Bancário,STQ5010033,-,[],https://app.zapform.com.br/c/726/workflow/1549865,1549865,-,,,
1533486,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,28/02/2025,01/04/2025,-,Sem prioridade,Teste Zapform,12,10,300,5,Boleto Bancário,-,-,[],https://app.zapform.com.br/c/726/workflow/1533473,1533473,-,,,
1754701,Jurídico,CST CERENTINI SOLUÇÕES EM TECNOLOGIA E TRANSMISSÃO DE DADOS LTDA,52883684000110,Contrato Ativo,04/06/2025,04/06/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO-QUERO - LOJA 618 - PARAÍSO DO SUL,9,10,"14,41",15,Boleto Bancário,PXS5010032,24/05/2023,[],https://app.zapform.com.br/c/726/workflow/1754684,1754684,-,,,
1549913,Jurídico,ALDOX TECNOLOGIA,5511983276055,Cancelado,10/03/2025,14/03/2025,-,Sem prioridade,PLANO DE AÇÃO - REINCIDENCIA BRADESCO / PAA PARANA - PNK5010006,12,10,100,20,Boleto Bancário,PNK5010006,-,[],https://app.zapform.com.br/c/726/workflow/1545089,1545089,-,,,
1689189,Jurídico,DIOGO CASSIO CABRAL,554998159980,Contrato Ativo,30/04/2025,30/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO QUERO - LOJA 549 - Urubici,11,10,"149,00",10,Boleto Bancário,UUI5010017,10/06/2023,[],https://app.zapform.com.br/c/726/workflow/1600966,1600966,-,,,
1353319,Jurídico,Alexandre Guerreiro,554187780165,Cancelado,05/12/2024,25/02/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
1549940,Jurídico,NETSET - producao,556799479675,Cancelado,10/03/2025,01/04/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - MIG COBRE LT1 - SETE QUEDAS - MS - POLICIA MILITAR DO ESTADO DE MS ,12,10,150,25,Boleto Bancário,STQ5010033,-,[],https://app.zapform.com.br/c/726/workflow/1272830,1272830,-,,,
1738360,Jurídico,CEDNET PROVEDOR DE INTERNET LTDA,08752674000154,Contrato Ativo,26/05/2025,26/05/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - QUERO QUERO - Filial 539 – Taguai - SP - TAG5010030,10,10,"170,00",25,Boleto Bancário,TAG5010030,09/02/2022,[],https://app.zapform.com.br/c/726/workflow/1738355,1738355,-,,,
1861261,Jurídico,TEN INTERNET,557436510050,Contratos Encerrados,28/07/2025,06/08/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - 220 AG. SDWAN - AG. SANTALUZ - BA - SUZ5011194,1,10,"9,23",20,Boleto Bancário,SUZ5011194,08/03/2024,[],https://app.zapform.com.br/c/726/workflow/1753086,1753086,-,,,
1550009,Jurídico,NETSET,556799479678,Cancelado,10/03/2025,14/03/2025,-,Sem prioridade,PEDIDO DE CONEXÃO NOVA - MIG COBRE LT1 - SETE QUEDAS - MS - POLICIA MILITAR DO ESTADO DE MS - TESTE,12,10,150,25,Boleto Bancário,STQ5010033,-,[],https://app.zapform.com.br/c/726/workflow/1549865,1549865,-,,,
1763019,Jurídico,,0,Aguardando Verificação/Aprovação (NAVA),09/06/2025,09/06/2025,-,Sem prioridade,-,-,-,-,-,-,-,-,-,-,-,-,,,
